"trust_code","trust_name","nhs_region","trust_type"
"AH9","CLINICAL DIAGNOSTIX LTD","MIDLANDS","INDEPENDENT SECTOR"
"AH9","CLINICAL DIAGNOSTIX LTD","MIDLANDS","INDEPENDENT SECTOR"
"AHA","LINCS HEALTH LIMITED","MIDLANDS","INDEPENDENT SECTOR"
"AHA","LINCS HEALTH LIMITED","MIDLANDS","INDEPENDENT SECTOR"
"AHC","CANCER PARTNERS UK LIMITED","SOUTH EAST","INDEPENDENT SECTOR"
"AHD","CORNERSTONE MEDICAL HOLDINGS LIMITED","NORTH WEST","INDEPENDENT SECTOR"
"AHE","REPRODUCTIVE HEALTH GROUP LIMITED","NORTH WEST","INDEPENDENT SECTOR"
"AHE","REPRODUCTIVE HEALTH GROUP LIMITED","NORTH WEST","INDEPENDENT SECTOR"
"AHE","REPRODUCTIVE HEALTH GROUP LIMITED","NORTH WEST","INDEPENDENT SECTOR"
"AHF","GOOD SKIN DAYS LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AHG","INTELLIGENT PRESCRIBING SOLUTIONS LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AHH","FOSCOTE COURT (BANBURY) TRUST LTD","SOUTH EAST","INDEPENDENT SECTOR"
"AHJ","ANGEL CHIROPODY & PODIATRY (HQ)","LONDON","INDEPENDENT SECTOR"
"AHK","HUMANITAS HEALTHCARE SERVICES LIMITED","MIDLANDS","INDEPENDENT SECTOR"
"AHL","INMIND HEALTHCARE - HEAD OFFICE","SOUTH EAST","INDEPENDENT SECTOR"
"AHM","UTTLESFORD HEALTH LIMITED (HQ)","LONDON","INDEPENDENT SECTOR"
"AHM","UTTLESFORD HEALTH LIMITED (HQ)","LONDON","INDEPENDENT SECTOR"
"AHN","EQUILIBRIUM HEALTHCARE","NORTH WEST","INDEPENDENT SECTOR"
"AHP","ST MICHAEL'S CLINIC LIMITED","MIDLANDS","INDEPENDENT SECTOR"
"AHQ","CUROCARE LTD HEAD OFFICE","LONDON","INDEPENDENT SECTOR"
"AHR","KING EDWARD VII'S HOSPITAL SISTER AGNES HQ","LONDON","INDEPENDENT SECTOR"
"AHT","WEST WAKEFIELD HEALTH & WELLBEING LIMITED","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AHV","HARNESS CARE CO-OPERATIVE LIMITED","LONDON","INDEPENDENT SECTOR"
"AHW","G4S FORENSIC AND MEDICAL SERVICES","LONDON","INDEPENDENT SECTOR"
"AHX","LUDLOW STREET HEALTHCARE (HQ)",NA,"INDEPENDENT SECTOR"
"AHY","GLEN CARE","LONDON","INDEPENDENT SECTOR"
"AJ0","COMPLETE SURVEYING SOLUTIONS LTD","MIDLANDS","INDEPENDENT SECTOR"
"AJ2","LENTELLS LIMITED","SOUTH WEST","INDEPENDENT SECTOR"
"AJ2","LENTELLS LIMITED","SOUTH WEST","INDEPENDENT SECTOR"
"AJ2","LENTELLS LIMITED","SOUTH WEST","INDEPENDENT SECTOR"
"AJ3","ST MARGARETS HOSPICE","SOUTH WEST","INDEPENDENT SECTOR"
"AJ4","SOUTH WORCESTERSHIRE PRIMARY CARE LIMITED","MIDLANDS","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ5","PRIMARY EYECARE (LANCASHIRE) LTD","LONDON","INDEPENDENT SECTOR"
"AJ6","DISC (DEVELOPING INITIATIVES SUPPORTING COMMUNITIES)","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AJ7","ANATOMIE HEALTHCARE LIMITED","LONDON","INDEPENDENT SECTOR"
"AJ8","THE GRANGE MEDICAL CENTRE HQ","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AJ9","HARINGEY ADVISORY GROUP ON ALCOHOL (HAGA)","LONDON","INDEPENDENT SECTOR"
"AJA","DOVER COUNSELLING CENTRE HQ","SOUTH EAST","INDEPENDENT SECTOR"
"AJC","VACCINATION UK LIMITED","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AJD","MINDMASTERS","NORTH WEST","INDEPENDENT SECTOR"
"AJE","MENTAL HEALTH CARE (UK) LTD","NORTH WEST","INDEPENDENT SECTOR"
"AJF","GENEIX LTD","SOUTH EAST","INDEPENDENT SECTOR"
"AJG","SHREEJI OPHTHALMIC PRIMARY CARE SERVICES LLP (HQ)","NORTH WEST","INDEPENDENT SECTOR"
"AJH","WEST NORFOLK OSTEOPATHS LTD","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AJJ","MEDICAL ILLUSTRATION UK LTD","LONDON","INDEPENDENT SECTOR"
"AJK","LEONG ENT LTD","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AJL","PRIMARY CARE WARWICKSHIRE LTD","MIDLANDS","INDEPENDENT SECTOR"
"AJM","BUPA CSH LTD","LONDON","INDEPENDENT SECTOR"
"AJM","BUPA CSH LTD","LONDON","INDEPENDENT SECTOR"
"AJM","BUPA CSH LTD","LONDON","INDEPENDENT SECTOR"
"AJN","WORKINGTON HEALTH LIMITED","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AJP","OPTYCO LTD","MIDLANDS","INDEPENDENT SECTOR"
"AJQ","HINCKLEY & BOSWORTH MEDICAL ALLIANCE LIMITED","MIDLANDS","INDEPENDENT SECTOR"
"AJR","KINGS LYNN CHIROPRACTIC CLINIC LTD","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AJT","NORTH WEST LEICESTERSHIRE GP LIMITED","MIDLANDS","INDEPENDENT SECTOR"
"AJV","GP HEALTHCARE ALLIANCE LTD","LONDON","INDEPENDENT SECTOR"
"AJV","GP HEALTHCARE ALLIANCE LTD","LONDON","INDEPENDENT SECTOR"
"AJW","CHELMER HEALTHCARE LTD","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AJW","CHELMER HEALTHCARE LTD","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AJX","SUSSEX MSK PARTNERSHIP 2","SOUTH EAST","INDEPENDENT SECTOR"
"AJY","WF FEDERATED GP NETWORK LIMITED","LONDON","INDEPENDENT SECTOR"
"AK0","B-WELL THERAPY LIMITED","LONDON","INDEPENDENT SECTOR"
"AK5","GENERATING HEALTHCARE LTD","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AK6","LOCAL INTEGRATED NETWORK OF CARE SERVICES HQ","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AK8","EXERCISE REFERRAL/COMMUNITY WEIGHT MANAGEMENT/MATERNITY LIFESTYLE PROGRAMME - SOUTH TYNESIDE COUNCIL","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AK9","12 POINT CARE LIMITED","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AKA","WELLSPRING HEALTHY LIVING CENTRE","SOUTH WEST","INDEPENDENT SECTOR"
"AKC","ANNE STAGG HYPNOTHERAPY","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AKD","THE OAKTREE CLINIC","MIDLANDS","INDEPENDENT SECTOR"
"AKE","ID MEDICAL GROUP LTD","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AKF","COURTYARD CONTINUING CARE LTD","NORTH WEST","INDEPENDENT SECTOR"
"AKG","CHISWICK HEALTHCARE LIMITED","LONDON","INDEPENDENT SECTOR"
"AKG","CHISWICK HEALTHCARE LIMITED","LONDON","INDEPENDENT SECTOR"
"AKG","CHISWICK HEALTHCARE LIMITED","LONDON","INDEPENDENT SECTOR"
"AKG","CHISWICK HEALTHCARE LIMITED","LONDON","INDEPENDENT SECTOR"
"AKH","GREAT WEST ROAD HEALTHCARE LIMITED","LONDON","INDEPENDENT SECTOR"
"AKJ","BRENTWORTH LOCALITY LIMITED.","LONDON","INDEPENDENT SECTOR"
"AKK","H&FGPF LIMITED","LONDON","INDEPENDENT SECTOR"
"AKL","HAVERING HEALTH LTD","LONDON","INDEPENDENT SECTOR"
"AKM","SHIRE HEALTH LTD","LONDON","INDEPENDENT SECTOR"
"AKN","EAST QUAY HEALTH LTD","SOUTH WEST","INDEPENDENT SECTOR"
"AKP","THE GREEN HOUSE","SOUTH WEST","INDEPENDENT SECTOR"
"AKQ","DELPHI MEDICAL LTD","NORTH WEST","INDEPENDENT SECTOR"
"AKR","LANCASHIRE WOMEN'S CENTRES","NORTH WEST","INDEPENDENT SECTOR"
"AKT","ORCHARD PORTMAN HOUSE LTD","SOUTH WEST","INDEPENDENT SECTOR"
"AKV","SWANSWELL CHARITABLE TRUST","MIDLANDS","INDEPENDENT SECTOR"
"AKW","ROMNEY MARSH PHYSIOTHERAPY CENTRE","SOUTH EAST","INDEPENDENT SECTOR"
"AKX","TOTAL PHYSIOTHERAPY LTD","NORTH WEST","INDEPENDENT SECTOR"
"AKY","PHYSIOLOGIC PAIN RELIEF SOLUTIONS LTD","SOUTH EAST","INDEPENDENT SECTOR"
"AL0","MEDICAL SKILLS CARE LTD","EAST OF ENGLAND","INDEPENDENT SECTOR"
"ALA","FELTHAM AND BEDFONT LOCALITY LIMITED","LONDON","INDEPENDENT SECTOR"
"ALC","SOUTH EAST ULTRASOUND LTD","SOUTH EAST","INDEPENDENT SECTOR"
"ALD","KESSON PHYSIOTHERAPY LTD","SOUTH EAST","INDEPENDENT SECTOR"
"ALF","THERAPEUTIC RESOURCES & COUNSELLING SERVICES LTD","MIDLANDS","INDEPENDENT SECTOR"
"ALG","EALING GP LTD","LONDON","INDEPENDENT SECTOR"
"ALG","EALING GP LTD","LONDON","INDEPENDENT SECTOR"
"ALG","EALING GP LTD","LONDON","INDEPENDENT SECTOR"
"ALG","EALING GP LTD","LONDON","INDEPENDENT SECTOR"
"ALH","HEM CLINICAL ULTRASOUND SERVICE LIMITED","SOUTH EAST","INDEPENDENT SECTOR"
"ALJ","UNITINGCARE PARTNERSHIP LLP","EAST OF ENGLAND","INDEPENDENT SECTOR"
"ALK","SOUTH CHARNWOOD GP NETWORK LIMITED","MIDLANDS","INDEPENDENT SECTOR"
"ALL","GREYSTONE PHYSIOTHERAPY CLINIC LTD","MIDLANDS","INDEPENDENT SECTOR"
"ALM","ST MARTINS HEALTHCARE SERVICES CIC","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"ALN","SEVENOAKS AREA MIND HQ","SOUTH EAST","INDEPENDENT SECTOR"
"ALP","PRIME PRACTICE PARTNERSHIP LTD","LONDON","INDEPENDENT SECTOR"
"ALP","PRIME PRACTICE PARTNERSHIP LTD","LONDON","INDEPENDENT SECTOR"
"ALQ","HAMBLETON RICHMONDSHIRE AND WHITBY GP ALLIANCE LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"ALR","BIRMINGHAM MENTAL HEALTH CONSORTIUM","MIDLANDS","INDEPENDENT SECTOR"
"ALT","ANN PHYSIOCARE LTD",NA,"INDEPENDENT SECTOR"
"ALV","ENGLISH INSTITUTE OF SPORT LTD","NORTH WEST","INDEPENDENT SECTOR"
"ALW","SECOND STEP LTD","SOUTH WEST","INDEPENDENT SECTOR"
"ALX","SAFECARE NETWORK LIMITED","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"ALY","WASHINGBOROUGH FAMILY PRACTICE GROUP","MIDLANDS","INDEPENDENT SECTOR"
"AM0","RELATE (BRADFORD)","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AM4","PICKARD JOAN (COUNSELLOR HQ)","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AM5","OUTLOOK SOUTH WEST LLP","SOUTH WEST","INDEPENDENT SECTOR"
"AM6","IESO DIGITAL HEALTH LTD","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AM7","SIGN HEALTH (HQ)","SOUTH EAST","INDEPENDENT SECTOR"
"AM8","NEWCASTLE TALKING THERAPIES (HQ)","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AM9","TRENT CBT SERVICES LTD","MIDLANDS","INDEPENDENT SECTOR"
"AM9","TRENT CBT SERVICES LTD","MIDLANDS","INDEPENDENT SECTOR"
"AMA","PML COUNSELLING SERVICE (HQ)","SOUTH EAST","INDEPENDENT SECTOR"
"AMC","SELF HELP SERVICES","NORTH WEST","INDEPENDENT SECTOR"
"AMD","THE KALEIDOSCOPE PLUS GROUP","MIDLANDS","INDEPENDENT SECTOR"
"AME","MIND IN BEXLEY","LONDON","INDEPENDENT SECTOR"
"AMF","SELF HELP SERVICES (PBR) (HQ)","NORTH WEST","INDEPENDENT SECTOR"
"AMF","SELF HELP SERVICES (PBR) (HQ)","NORTH WEST","INDEPENDENT SECTOR"
"AMH","WEST ESSEX MIND (HQ)","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AMJ","LEA VALE MEDICAL GROUP (HQ)","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AMK","STARFISH HEALTH AND WELLBEING (HQ)","MIDLANDS","INDEPENDENT SECTOR"
"AMK","STARFISH HEALTH AND WELLBEING (HQ)","MIDLANDS","INDEPENDENT SECTOR"
"AML","1POINT (NORTH WEST) LIMITED","NORTH WEST","INDEPENDENT SECTOR"
"AMM","READY TO TALK CIC","SOUTH EAST","INDEPENDENT SECTOR"
"AMN","RELATE (AVON) (HQ)","SOUTH WEST","INDEPENDENT SECTOR"
"AMP","RELATE (BEDFORDSHIRE AND LUTON) (HQ)","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AMQ","MEARS GROUP PLC","SOUTH WEST","INDEPENDENT SECTOR"
"AMR","PRIMARY HEALTHCARE DARLINGTON LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AMT","AMP HEALTHCARE LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AMV","CHESTERFIELD HEALTH PROVIDER LTD","MIDLANDS","INDEPENDENT SECTOR"
"AMW","ALLIANCE FOR BETTER CARE LTD","SOUTH EAST","INDEPENDENT SECTOR"
"AMX","MEDISICO CLINICS LTD","LONDON","INDEPENDENT SECTOR"
"AMY","HEALTHSTONE MEDICAL LTD","SOUTH WEST","INDEPENDENT SECTOR"
"AN0","THE BIG LIFE GROUP LTD","NORTH WEST","INDEPENDENT SECTOR"
"AN0","THE BIG LIFE GROUP LTD","NORTH WEST","INDEPENDENT SECTOR"
"AN2","BROCKLEBANK GROUP PRACTICE (HQ)","LONDON","INDEPENDENT SECTOR"
"AN4","GRAFTON MEDICAL PARTNERS (HQ)","LONDON","INDEPENDENT SECTOR"
"AN5","PUTNEYMEAD GROUP MEDICAL PRACTICE (HQ)","LONDON","INDEPENDENT SECTOR"
"AN9","THE EARLSFIELD PRACTICE (HQ)","LONDON","INDEPENDENT SECTOR"
"ANA","HEATHBRIDGE PRACTICE (HQ)","LONDON","INDEPENDENT SECTOR"
"ANC","OPEN DOOR SURGERY (HQ)","LONDON","INDEPENDENT SECTOR"
"AND","BADDOW HOSPITAL LTD","EAST OF ENGLAND","INDEPENDENT SECTOR"
"ANE","STEREOPSIS LTD","SOUTH EAST","INDEPENDENT SECTOR"
"ANF","LEA VALLEY HEALTH LTD","EAST OF ENGLAND","INDEPENDENT SECTOR"
"ANG","IP&E LIMITED","MIDLANDS","INDEPENDENT SECTOR"
"ANG","IP&E LIMITED","MIDLANDS","INDEPENDENT SECTOR"
"ANH","MALLING HEALTH UK LIMITED","SOUTH EAST","INDEPENDENT SECTOR"
"ANH","MALLING HEALTH UK LIMITED","SOUTH EAST","INDEPENDENT SECTOR"
"ANJ","CENTRAL LONDON PRIMARY CARE COUNSELLORS","LONDON","INDEPENDENT SECTOR"
"ANK","IP&E (TRADING) LIMITED","MIDLANDS","INDEPENDENT SECTOR"
"ANK","IP&E (TRADING) LIMITED","MIDLANDS","INDEPENDENT SECTOR"
"ANL","1ST CARE CUMBRIA LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"ANM","TRI LOCALITY CARE LTD","SOUTH EAST","INDEPENDENT SECTOR"
"ANN","INTEGRATED COMMUNITY CARE LTD","SOUTH EAST","INDEPENDENT SECTOR"
"ANP","NEW FOREST PHYSIOTHERAPY CLINIC LTD","SOUTH EAST","INDEPENDENT SECTOR"
"ANQ","DURHAM DALES HEALTH FEDERATION","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"ANR","YORDALES HEALTH LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"ANT","FOOTCAB LTD","LONDON","INDEPENDENT SECTOR"
"ANV","CENTRE FOR PSYCHOLOGY LIMITED","LONDON","INDEPENDENT SECTOR"
"ANW","K & W HEALTHCARE LTD","LONDON","INDEPENDENT SECTOR"
"ANX","KILBURN PRIMARY CARE CO-OP LIMITED","LONDON","INDEPENDENT SECTOR"
"ANY","PHYSIO-WORKS (UK) LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AP0","ASH PHYSIOTHERAPY & SPORTS INJURY CLINIC LTD","SOUTH EAST","INDEPENDENT SECTOR"
"AP2","EAST SUSSEX OUTPATIENT SERVICES LIMITED (ESOPS)","SOUTH EAST","INDEPENDENT SECTOR"
"AP2","EAST SUSSEX OUTPATIENT SERVICES LIMITED (ESOPS)","SOUTH EAST","INDEPENDENT SECTOR"
"AP3","THE WATERSIDE PHYSIOTHERAPY AND OSTEOPATHY CLINIC","SOUTH EAST","INDEPENDENT SECTOR"
"AP4","LYMPHOEDEMA SPECIALIST SERVICES LTD","SOUTH EAST","INDEPENDENT SECTOR"
"AP5","FUTURE PROOF HEALTH LIMITED","MIDLANDS","INDEPENDENT SECTOR"
"AP6","AVENUE OSTEOPATHS","LONDON","INDEPENDENT SECTOR"
"AP7","REDBRIDGE OSTEOPATHS","LONDON","INDEPENDENT SECTOR"
"AP8","SOUTH WEST ADVICE AND NEUROLOGY SERVICES (SWANS)","SOUTH WEST","INDEPENDENT SECTOR"
"AP8","SOUTH WEST ADVICE AND NEUROLOGY SERVICES (SWANS)","SOUTH WEST","INDEPENDENT SECTOR"
"AP8","SOUTH WEST ADVICE AND NEUROLOGY SERVICES (SWANS)","SOUTH WEST","INDEPENDENT SECTOR"
"AP9","CREATE HEALTH LIMITED","LONDON","INDEPENDENT SECTOR"
"APA","GENERAL PRACTICE ALLIANCE LIMITED","MIDLANDS","INDEPENDENT SECTOR"
"APC","ALS COSMETIC LASER CLINIC","SOUTH EAST","INDEPENDENT SECTOR"
"APD","LONDON MEDICAL ASSOCIATES LIMITED","LONDON","INDEPENDENT SECTOR"
"APD","LONDON MEDICAL ASSOCIATES LIMITED","LONDON","INDEPENDENT SECTOR"
"APD","LONDON MEDICAL ASSOCIATES LIMITED","LONDON","INDEPENDENT SECTOR"
"APD","LONDON MEDICAL ASSOCIATES LIMITED","LONDON","INDEPENDENT SECTOR"
"APE","RICHMOND GENERAL PRACTICE ALLIANCE LTD","LONDON","INDEPENDENT SECTOR"
"APG","KINGSTON GENERAL PRACTICE CHAMBERS LIMITED","LONDON","INDEPENDENT SECTOR"
"APH","TRUST PRIMARY CARE LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"APJ","SOUTH WARWICKSHIRE GP LIMITED","MIDLANDS","INDEPENDENT SECTOR"
"APK","WEST WAKEFIELD HEALTH AND WELLBEING LIMITED","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"APL","BEACON HEALTH STRATEGIES UK LIMITED","LONDON","INDEPENDENT SECTOR"
"APM","GLOUCESTER GP CONSORTIUM LTD","SOUTH WEST","INDEPENDENT SECTOR"
"APM","GLOUCESTER GP CONSORTIUM LTD","SOUTH WEST","INDEPENDENT SECTOR"
"APM","GLOUCESTER GP CONSORTIUM LTD","SOUTH WEST","INDEPENDENT SECTOR"
"APN","HEALTH FIRST ALW COMMUNITY INTEREST COMPANY","NORTH WEST","INDEPENDENT SECTOR"
"APP","EASY IMAGING AND MRI","SOUTH WEST","INDEPENDENT SECTOR"
"APQ","PRIMEGP PLC","MIDLANDS","INDEPENDENT SECTOR"
"APR","COVENTRY & RUGBY GP ALLIANCE LIMITED","MIDLANDS","INDEPENDENT SECTOR"
"APT","CORE CARE LINKS LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"APV","DEANBROOK LLP","SOUTH EAST","INDEPENDENT SECTOR"
"APW","AMBICORP LTD","MIDLANDS","INDEPENDENT SECTOR"
"APX","MENTAL HEALTH CONCERN","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"APY","CARDIUM LTD","NORTH WEST","INDEPENDENT SECTOR"
"AQ0","MIDDLEWOOD LTD","NORTH WEST","INDEPENDENT SECTOR"
"AQ1","ANESI HEALTHCARE LTD","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AQ2","SOUTHERN INDEPENDENT MEDICAL PRACTICE LIMITED","SOUTH WEST","INDEPENDENT SECTOR"
"AQ3","WOODBURY MEDICAL LTD","LONDON","INDEPENDENT SECTOR"
"AQ4","CENTRAL4HARINGEY","LONDON","INDEPENDENT SECTOR"
"AQ5","HEALTH AND LIFESTYLE RESEARCH UNIT HQ","LONDON","INDEPENDENT SECTOR"
"AQ6","THAMES VALLEY VASECTOMY SERVICES LTD","SOUTH EAST","INDEPENDENT SECTOR"
"AQ7","ONE CARE CONSORTIUM LIMITED","SOUTH WEST","INDEPENDENT SECTOR"
"AQ8","HOUNSLOW GP FEDERATION CIC","LONDON","INDEPENDENT SECTOR"
"AQ9","SAROIA STAFFING SERVICES LIMITED","MIDLANDS","INDEPENDENT SECTOR"
"AQA","TYNEHEALTH LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AQC","BRADFORD PHYSIOTHERAPY CLINIC LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AQD","JORVIK PODIATRY LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AQE","CLATTERBRIDGE PHARMACY LTD","NORTH WEST","INDEPENDENT SECTOR"
"AQE","CLATTERBRIDGE PHARMACY LTD","NORTH WEST","INDEPENDENT SECTOR"
"AQF","THE CLATTERBRIDGE CLINIC LLP","NORTH WEST","INDEPENDENT SECTOR"
"AQF","THE CLATTERBRIDGE CLINIC LLP","NORTH WEST","INDEPENDENT SECTOR"
"AQG","PROCARE HEALTH LIMITED","SOUTH EAST","INDEPENDENT SECTOR"
"AQH","PENNINE GP ALLIANCE LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AQJ","THE COLLEGE OF ST BARNABAS","SOUTH EAST","INDEPENDENT SECTOR"
"AQK","VERNOVA HEALTHCARE COMMUNITY INTEREST COMPANY","NORTH WEST","INDEPENDENT SECTOR"
"AQK","VERNOVA HEALTHCARE COMMUNITY INTEREST COMPANY","NORTH WEST","INDEPENDENT SECTOR"
"AQL","BRISTOL UROLOGY ASSOCIATES","SOUTH WEST","INDEPENDENT SECTOR"
"AQM","FAVERSHAM MEDICAL PRACTICE MIU","SOUTH EAST","INDEPENDENT SECTOR"
"AQN","PHL OUT OF HOURS LTD","SOUTH EAST","INDEPENDENT SECTOR"
"AQP","CROFTLANDS TRUST LIMITED","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AQQ","THURLEIGH ROAD PRACTICE","LONDON","INDEPENDENT SECTOR"
"AQR","NORTHERN HEALTH GPPO LTD","NORTH WEST","INDEPENDENT SECTOR"
"AQT","CORNWALL HOSPICE CARE LIMITED","SOUTH WEST","INDEPENDENT SECTOR"
"AQV","NAMRON CARE PROVIDER LTD","MIDLANDS","INDEPENDENT SECTOR"
"AQW","FAREHAM AND GOSPORT PRIMARY CARE ALLIANCE LTD","SOUTH EAST","INDEPENDENT SECTOR"
"AQX","LEICESTER CITY CENTRAL HEALTHCARE LTD","MIDLANDS","INDEPENDENT SECTOR"
"AQY","SOUTH EASTERN HAMPSHIRE ALLIANCE LIMITED","SOUTH EAST","INDEPENDENT SECTOR"
"AR0","ASSOCIATED PHYSIOTHERAPY PARTNERSHIP LTD","SOUTH EAST","INDEPENDENT SECTOR"
"AR4","SOUTHAMPTON PRIMARY CARE LIMITED","SOUTH EAST","INDEPENDENT SECTOR"
"AR4","SOUTHAMPTON PRIMARY CARE LIMITED","SOUTH EAST","INDEPENDENT SECTOR"
"AR6","SALIX HEALTH LTD","NORTH WEST","INDEPENDENT SECTOR"
"AR7","PORTSMOUTH PRIMARY CARE ALLIANCE LTD","SOUTH EAST","INDEPENDENT SECTOR"
